1402592238	12162
1402592299	12162
1402592359	12163
1402592420	12163
1402592480	12165
1402592540	12167
1402592601	12167
1402592661	12171
1402592721	12174
1402592782	12178
1402592842	12182
1402592903	12183
1402592963	12185
1402593023	12185
1402593084	12186
1402593144	12188
1402593204	12190
1402593265	12191
1402593325	12192
1402593386	12193
1402593446	12195
1402593506	12197
1402593567	12198
1402593627	12199
1402593687	12199
1402593748	12201
1402593808	12205
1402593869	12206
1402593930	12206
1402593990	12207
1402594051	12208
1402594111	12209
1402594171	12211
1402594232	12213
1402594292	12213
1402594353	12215
1402594413	12216
1402594473	12220
1402594534	12221
1402594594	12223
1402594655	12223
1402594715	12223
1402594775	12225
1402594836	12228
1402594897	12228
1402594957	12228
1402595017	12229
1402595078	12231
1402595138	12231
1402595199	12234
1402595259	12235
1402595319	12235
1402595417	12239
1402595477	12240
1402595538	12243
1402595598	12245
1402595659	12251
1402595720	12251
1402595780	12252
1402595841	12253
1402595901	12257
1402595962	12259
1402596022	12260
1402596083	12261
1402596143	12261
1402596204	12265
1402596265	12269
1402596325	12270
1402596386	12270
1402596446	12271
1402596507	12272
1402596567	12275
1402596627	12278
1402596688	12279
1402596748	12281
1402596809	12283
1402596870	12287
1402596930	12287
1402596991	12289
1402597052	12291
1402597112	12295
1402597173	12295
1402597233	12295
1402597294	12295
1402597355	12297
1402597415	12298
1402597476	12298
1402597536	12299
1402597597	12301
1402597657	12302
1402597718	12303
1402597778	12304
1402597839	12307
1402597899	12309
1402597960	12309
1402598021	12310
1402598081	12312
1402598142	12313
1402598202	12314
1402598263	12317
1402598324	12318
1402598384	12320
1402598445	12321
1402598505	12323
1402598566	12325
1402598626	12326
1402598687	12330
1402598748	12330
